# TELESCOPE = UH88
# INSTRUMENT = SNIFS
# OBJECT = 23lli
# CHANNEL = B+R
# EXPNUM = 23_179_081_003
# MJD-OBS = 60123.540295
# DATE-OBS = 2023-06-28T12:58:03
# EXPTIME = 2400.0s
# AIRMASS = 1.19
# FLUXCAL_RMS_B = 0.034 mag
# FLUXCAL_RMS_R = 0.035 mag
# RA = 22:57:39.47
# DEC = 40:32:40.70
# wl fl err
# [A] [erg/s/cm2/A]
3802.480000 2.935483e-16 1.618927e-17
3805.480000 2.931194e-16 1.747511e-17
3808.480000 2.948358e-16 1.719316e-17
3811.480000 2.809787e-16 1.517345e-17
3814.480000 3.030222e-16 1.612693e-17
3817.480000 3.071471e-16 1.731787e-17
3820.480000 2.848953e-16 1.610143e-17
3823.480000 2.790030e-16 1.477828e-17
3826.480000 2.766768e-16 1.592634e-17
3829.480000 2.913169e-16 1.681696e-17
3832.480000 2.945699e-16 1.559963e-17
3835.480000 2.913130e-16 1.479696e-17
3838.480000 2.960738e-16 1.632974e-17
3841.480000 2.732099e-16 1.654757e-17
3844.480000 3.070833e-16 1.505385e-17
3847.480000 3.190433e-16 1.479071e-17
3850.480000 3.108812e-16 1.657678e-17
3853.480000 2.996298e-16 1.667623e-17
3856.480000 2.976867e-16 1.469314e-17
3859.480000 2.942511e-16 1.449974e-17
3862.480000 3.015481e-16 1.654365e-17
3865.480000 3.230191e-16 1.664465e-17
3868.480000 2.844792e-16 1.435112e-17
3871.480000 2.630368e-16 1.468085e-17
3874.480000 2.614084e-16 1.628758e-17
3877.480000 2.908569e-16 1.609415e-17
3880.480000 3.003416e-16 1.454220e-17
3883.480000 2.950137e-16 1.507186e-17
3886.480000 2.780733e-16 1.618900e-17
3889.480000 2.720910e-16 1.532230e-17
3892.480000 3.032088e-16 1.444799e-17
3895.480000 3.006411e-16 1.556491e-17
3898.480000 3.042143e-16 1.647954e-17
3901.480000 2.841957e-16 1.507869e-17
3904.480000 2.602761e-16 1.394858e-17
3907.480000 2.737045e-16 1.542584e-17
3910.480000 3.064420e-16 1.623269e-17
3913.480000 3.172271e-16 1.487078e-17
3916.480000 3.205891e-16 1.435685e-17
3919.480000 3.235681e-16 1.610436e-17
3922.480000 3.186465e-16 1.611668e-17
3925.480000 3.190250e-16 1.425640e-17
3928.480000 2.972034e-16 1.389234e-17
3931.480000 2.711779e-16 1.544969e-17
3934.480000 2.573782e-16 1.518155e-17
3937.480000 2.723331e-16 1.343876e-17
3940.480000 2.796992e-16 1.386292e-17
3943.480000 2.893340e-16 1.563372e-17
3946.480000 3.275768e-16 1.565153e-17
3949.480000 3.365984e-16 1.415610e-17
3952.480000 3.051019e-16 1.441460e-17
3955.480000 3.075562e-16 1.576811e-17
3958.480000 3.283952e-16 1.519850e-17
3961.480000 3.196199e-16 1.381710e-17
3964.480000 3.037541e-16 1.456962e-17
3967.480000 2.944006e-16 1.564951e-17
3970.480000 2.732294e-16 1.438197e-17
3973.480000 2.385033e-16 1.317132e-17
3976.480000 2.276959e-16 1.452859e-17
3979.480000 2.883859e-16 1.517377e-17
3982.480000 2.946104e-16 1.397252e-17
3985.480000 3.069474e-16 1.357246e-17
3988.480000 3.219210e-16 1.545554e-17
3991.480000 3.362141e-16 1.584725e-17
3994.480000 3.280298e-16 1.421738e-17
3997.480000 3.331987e-16 1.427597e-17
4000.480000 3.386228e-16 1.657105e-17
4003.480000 3.398221e-16 1.676331e-17
4006.480000 3.423338e-16 1.488591e-17
4009.480000 3.288133e-16 1.509831e-17
4012.480000 3.484224e-16 1.706760e-17
4015.480000 3.459632e-16 1.652344e-17
4018.480000 3.200060e-16 1.437309e-17
4021.480000 3.067840e-16 1.456982e-17
4024.480000 3.040564e-16 1.553219e-17
4027.480000 2.951784e-16 1.468545e-17
4030.480000 2.752147e-16 1.299890e-17
4033.480000 3.014049e-16 1.383977e-17
