# TELESCOPE = Liverpool Telescope
# INSTRUMENT = SPRAT
# PROPOSAL = PL22B16
# OBJECT = 2022wtn
# RA = 23:23:23.778
# DEC = 10:41:7.99
# DATE-OBS = 2022-11-20T20:10:41.684
# MJD-OBS = 59903.84076
# EXPTIME-OBS = 2100.0s
# AIRMASS-OBS = 1.0573
# SEEING-OBS = 1.068386
# wl fl
# [A] [Normalised]
6191.200000 0.91931
6200.400000 1.00246
6209.600000 0.987815
6218.800000 1.01279
6228.000000 1.03214
6237.200000 0.941374
6246.400000 0.977877
6255.600000 0.911484
6264.800000 0.914604
6274.000000 0.951358
6283.200000 0.981256
6292.400000 0.902252
6301.600000 1.01965
6310.800000 0.984292
6320.000000 0.953079
6329.200000 1.01943
6338.400000 0.991061
6347.600000 1.0072
6356.800000 0.984187
6366.000000 1.00055
6375.200000 0.86193
6384.400000 0.935187
6393.600000 0.944852
6402.800000 1.00965
6412.000000 0.926134
6421.200000 0.915314
6430.400000 0.961572
6439.600000 0.938595
6448.800000 0.941284
6458.000000 0.964478
6467.200000 0.925277
6476.400000 0.860232
6485.600000 0.959334
6494.800000 0.973443
6504.000000 0.926715
6513.200000 0.861347
6522.400000 0.990325
6531.600000 0.84377
6540.800000 0.875704
6550.000000 0.867326
6559.200000 0.938903
6568.400000 0.902473
6577.600000 0.902321
6586.800000 0.864667
6596.000000 0.955293
6605.200000 0.915799
6614.400000 0.90521
6623.600000 0.863779
6632.800000 0.895552
6642.000000 1.038228
6651.200000 0.917234
6660.400000 0.900951
6669.600000 0.993046
6678.800000 0.945783
6688.000000 1.10229
6697.200000 0.94707
6706.400000 0.863865
6715.600000 0.940939
6724.800000 0.939198
6734.000000 0.990211
6743.200000 0.954807
6752.400000 0.832662
6761.600000 0.99531
6770.800000 0.930812
6780.000000 0.971595
6789.200000 0.898635
6798.400000 0.962012
6807.600000 0.924925
6816.800000 0.969697
6826.000000 0.967156
6835.200000 1.0946
6844.400000 1.07619
6853.600000 1.05817
6862.800000 1.06684
6872.000000 1.04316
6881.200000 1.55011
6890.400000 1.41678
6899.600000 1.34062
6908.800000 1.41407
6918.000000 1.07451
6927.200000 0.980579
6936.400000 0.944455
6945.600000 1.00538
6954.800000 0.932828
6964.000000 0.939247
6973.200000 1.00037
6982.400000 1.04829
6991.600000 0.891962
7000.800000 0.886158
7010.000000 1.05128
7019.200000 0.947849
7028.400000 0.940638
7037.600000 0.995904
7046.800000 1.04148
7056.000000 1.10162
7065.200000 0.929712
7074.400000 0.844738
7083.600000 0.868254
7092.800000 0.93971
7102.000000 0.868228
7111.200000 0.88577
7120.400000 0.877784
7129.600000 0.990596
7138.800000 0.91902
7148.000000 0.867684
7157.200000 0.888739
7166.400000 0.867715
7175.600000 0.897094
7184.800000 0.776504
7194.000000 0.786616
7203.200000 0.758362
7212.400000 0.869611
7221.600000 0.838635
7230.800000 0.894998
7240.000000 1.11749
7249.200000 0.912175
7258.400000 0.824405
7267.600000 0.928424
7276.800000 0.834575
7286.000000 0.862785
7295.200000 0.880705
7304.400000 0.85526
7313.600000 0.860996
7322.800000 0.762108
7332.000000 0.818759
7341.200000 0.981508
7350.400000 0.803034
7359.600000 1.04288
7368.800000 0.881352
7378.000000 0.949962
7387.200000 0.821625
7396.400000 0.716204
7405.600000 0.897737
7414.800000 0.866117
7424.000000 0.902683
7433.200000 0.769536
7442.400000 0.826142
7451.600000 0.894077
7460.800000 0.776177
7470.000000 0.781538
7479.200000 0.935662
