WAVE,FLUX,ERR,SKYBACK
3647.7786,1.6623665E-16,7.783195E-18,3.327233E-16
3653.299,1.9179179E-16,7.8221756E-18,3.1760527E-16
3658.8198,1.7776477E-16,7.582217E-18,3.0150267E-16
3664.3403,1.7504596E-16,7.4117046E-18,2.8347146E-16
3669.8608,1.7338893E-16,7.2414096E-18,2.6385836E-16
3675.3816,1.8409443E-16,7.1773295E-18,2.4814386E-16
3680.902,1.6950213E-16,7.088056E-18,2.6483496E-16
3686.4229,1.7112424E-16,7.145064E-18,2.9034132E-16
3691.9434,1.7152646E-16,7.123835E-18,2.998753E-16
3697.4639,1.7278098E-16,7.139307E-18,3.162985E-16
3702.9846,1.872863E-16,7.156139E-18,3.1334306E-16
3708.5051,1.806871E-16,7.0353944E-18,3.0980108E-16
3714.0256,1.9686957E-16,7.015517E-18,2.9430139E-16
3719.5464,1.6760953E-16,6.870673E-18,3.169482E-16
3725.067,1.7332277E-16,6.8782392E-18,3.253179E-16
3730.5876,1.7842554E-16,6.933674E-18,3.4392711E-16
3736.1082,1.6731084E-16,6.8710548E-18,3.5745224E-16
3741.6287,1.6366867E-16,6.742805E-18,3.443762E-16
3747.1494,1.6221433E-16,6.5891206E-18,3.2178046E-16
3752.67,1.7384093E-16,6.486939E-18,2.915141E-16
3758.1904,1.607477E-16,6.311608E-18,2.808894E-16
3763.7112,1.7223569E-16,6.2667604E-18,2.6524683E-16
3769.2317,1.6536308E-16,6.206479E-18,2.7128057E-16
3774.7524,1.7997475E-16,6.2586727E-18,2.7281023E-16
3780.273,1.6744543E-16,6.16258E-18,2.7879407E-16
3785.7935,1.7636943E-16,6.1365345E-18,2.6948724E-16
3791.3142,1.7014797E-16,6.0516132E-18,2.678872E-16
3796.8347,1.6942271E-16,5.996903E-18,2.6567424E-16
3802.3552,1.8436289E-16,6.031509E-18,2.6227666E-16
3807.876,1.9740831E-16,6.091375E-18,2.66996E-16
3813.3965,1.9696802E-16,6.0674587E-18,2.7236532E-16
3818.917,1.850194E-16,6.0667085E-18,2.9810758E-16
3824.4377,2.0159436E-16,6.145003E-18,3.0314057E-16
3829.9583,1.9973897E-16,6.118419E-18,3.0831465E-16
3835.479,2.0761934E-16,6.1528022E-18,3.1453271E-16
3840.9995,2.1924615E-16,6.1475335E-18,3.0680169E-16
3846.52,2.1727364E-16,6.005819E-18,2.7976365E-16
3852.0408,2.1137799E-16,5.8662135E-18,2.6099033E-16
3857.5613,2.0375804E-16,5.712032E-18,2.412556E-16
3863.0818,2.1265634E-16,5.69095E-18,2.315857E-16
3868.6025,2.0770611E-16,5.593234E-18,2.219823E-16
3874.123,1.9840943E-16,5.47722E-18,2.1392339E-16
3879.6438,2.0539501E-16,5.461587E-18,2.0593383E-16
3885.1643,2.1249583E-16,5.51937E-18,2.1690968E-16
3890.6848,2.0956495E-16,5.5231553E-18,2.295416E-16
3896.2056,1.9702831E-16,5.5274632E-18,2.5555543E-16
3901.726,1.9073176E-16,5.5620472E-18,2.8101125E-16
3907.2466,1.9721458E-16,5.5904075E-18,2.8589334E-16
3912.7673,1.9232934E-16,5.5190545E-18,2.8130337E-16
3918.2878,1.9785862E-16,5.469829E-18,2.6534408E-16
3923.8086,1.8901992E-16,5.31045E-18,2.429636E-16
3929.329,1.9048672E-16,5.252366E-18,2.3131083E-16
3934.8496,1.8859926E-16,5.2340705E-18,2.3475394E-16
3940.3704,1.9933745E-16,5.3062817E-18,2.4297296E-16
3945.8909,2.1011359E-16,5.3733446E-18,2.5120112E-16
3951.4114,2.1617058E-16,5.3657234E-18,2.4614076E-16
3956.9321,2.2357562E-16,5.3539625E-18,2.3721563E-16
3962.4526,2.3152145E-16,5.3091554E-18,2.1986323E-16
3967.9734,2.3062645E-16,5.2740713E-18,2.1713527E-16
3973.494,2.3651262E-16,5.2962857E-18,2.1963057E-16
3979.0144,2.4102368E-16,5.336503E-18,2.2917887E-16
3984.5352,2.3712968E-16,5.5995615E-18,2.4881185E-16
3990.0557,2.1498748E-16,5.299236E-18,2.666393E-16
3995.5762,2.2292512E-16,5.3471056E-18,2.72417E-16
4001.097,2.3951678E-16,5.4413976E-18,2.799331E-16
4006.6174,2.1983186E-16,5.370986E-18,2.9300683E-16
4012.1382,2.0809039E-16,5.309456E-18,2.9726518E-16
4017.6587,2.0282383E-16,5.2612306E-18,2.9629837E-16
4023.1792,2.0486163E-16,5.264775E-18,2.989789E-16
4028.7,1.9622756E-16,5.20857E-18,2.9964884E-16
4034.2205,2.0635347E-16,5.2553216E-18,3.0370986E-16
4039.741,2.155381E-16,5.3127693E-18,3.1032855E-16
4045.2617,2.1896976E-16,5.3225946E-18,3.1253173E-16
4050.7822,2.361832E-16,5.4105193E-18,3.179673E-16
4056.3027,2.3281577E-16,5.3926634E-18,3.213006E-16
4061.8235,2.342032E-16,5.403229E-18,3.2684902E-16
4067.344,2.2876507E-16,5.3399174E-18,3.1992419E-16
4072.8647,2.193192E-16,5.307501E-18,3.254691E-16
4078.3853,2.2233424E-16,5.303223E-18,3.2347675E-16
4083.9058,2.1246834E-16,5.2146645E-18,3.157926E-16
4089.4265,2.338844E-16,5.258025E-18,3.0273003E-16
