WAVE,FLUX,ERR,SKYBACK
3338.296,5.368219E-16,2.5152169E-17,7.398461E-17
3342.3774,6.410894E-16,2.5042726E-17,1.5417742E-17
3346.459,5.5963843E-16,2.4067035E-17,5.3546736E-17
3350.5403,5.7916624E-16,2.4074538E-17,8.582184E-17
3354.6218,6.044326E-16,2.3645366E-17,6.874731E-17
3358.7034,6.2540164E-16,2.3035226E-17,3.515714E-17
3362.785,5.68004E-16,2.2321035E-17,6.6159685E-17
3366.8662,6.3488375E-16,2.2271653E-17,4.1395857E-17
3370.9478,5.611198E-16,2.1442828E-17,7.323766E-17
3375.0293,6.645344E-16,2.1524196E-17,1.9758382E-17
3379.1106,5.322095E-16,2.038611E-17,7.258569E-17
3383.1921,5.4482504E-16,2.0076448E-17,6.8899096E-17
3387.2737,5.611642E-16,1.982774E-17,6.307479E-17
3391.355,5.5331204E-16,1.945322E-17,6.734313E-17
3395.4365,6.585015E-16,2.1073038E-17,7.026949E-17
3399.518,5.9762304E-16,1.9003459E-17,4.536935E-17
3403.5994,5.408244E-16,1.8211622E-17,4.889169E-17
3407.681,5.8561603E-16,1.823591E-17,3.847822E-17
3411.7625,5.5690796E-16,1.7963905E-17,6.7295755E-17
3415.8438,4.912336E-16,1.6911195E-17,4.994021E-17
3419.9253,5.650213E-16,1.7334073E-17,5.0170082E-17
3424.0068,5.8678705E-16,1.7194956E-17,4.2372102E-17
3428.0881,5.1204264E-16,1.6294532E-17,4.2550303E-17
3432.1697,5.4743136E-16,1.657944E-17,6.6592486E-17
3436.2512,5.6792924E-16,1.6408343E-17,5.038457E-17
3440.3328,5.7782015E-16,1.61247E-17,3.658364E-17
3444.414,5.855587E-16,1.593629E-17,2.925266E-17
3448.4956,5.234222E-16,1.5350254E-17,4.7843455E-17
3452.5771,5.3913033E-16,1.530589E-17,5.2331257E-17
3456.6584,5.1260343E-16,1.4801352E-17,4.112785E-17
3460.74,5.375494E-16,1.4879586E-17,4.5937287E-17
3464.8215,5.25739E-16,1.4751851E-17,6.2149196E-17
3468.9028,5.427209E-16,1.4636501E-17,5.4587564E-17
3472.9844,5.250368E-16,1.4382667E-17,6.1042707E-17
3477.066,5.3138697E-16,1.398222E-17,2.427341E-17
3481.1472,5.2001015E-16,1.38350945E-17,3.686699E-17
3485.2288,5.028048E-16,1.3572233E-17,4.1480547E-17
3489.3103,5.012253E-16,1.336352E-17,3.6044167E-17
3493.3916,5.318283E-16,1.3393699E-17,2.5508015E-17
3497.4731,5.230381E-16,1.3371752E-17,4.88647E-17
3501.5547,4.988434E-16,1.2964556E-17,3.795158E-17
3505.636,5.0703636E-16,1.29033335E-17,3.9486545E-17
3509.7175,5.029147E-16,1.2744265E-17,4.094164E-17
3513.799,5.16801E-16,1.25974E-17,2.4768891E-17
3517.8806,5.0950297E-16,1.2504984E-17,3.4624947E-17
3521.962,4.757421E-16,1.218643E-17,4.267699E-17
3526.0435,4.7981277E-16,1.2127671E-17,4.529783E-17
3530.125,4.440534E-16,1.1767264E-17,5.260326E-17
3534.2063,4.8534993E-16,1.1924859E-17,4.245039E-17
3538.2878,4.552106E-16,1.1683522E-17,5.5303794E-17
3542.3694,4.58924E-16,1.1575982E-17,5.1213584E-17
3546.4507,4.576695E-16,1.1488907E-17,5.4470578E-17
3550.5322,4.610392E-16,1.1319585E-17,4.069547E-17
3554.6138,4.4713043E-16,1.1080223E-17,3.7750197E-17
3558.695,4.3742145E-16,1.09353815E-17,3.8930567E-17
3562.7766,4.5093387E-16,1.0949432E-17,3.829264E-17
3566.8582,4.3748516E-16,1.0715894E-17,3.4430026E-17
3570.9395,4.426799E-16,1.0721653E-17,4.241319E-17
3575.021,4.4221332E-16,1.0593925E-17,3.6765065E-17
3579.1025,4.448463E-16,1.04651285E-17,2.983082E-17
3583.1838,4.563249E-16,1.0475762E-17,3.079265E-17
3587.2654,4.5287374E-16,1.0410365E-17,3.3757105E-17
3591.347,4.3169037E-16,1.0160159E-17,3.2641695E-17
3595.4285,4.3972074E-16,1.0067442E-17,2.3443164E-17
3599.5098,4.377421E-16,1.0085804E-17,3.790042E-17
3603.5913,4.4336868E-16,9.980966E-18,2.9327325E-17
3607.6729,4.4935066E-16,9.9215575E-18,2.4552208E-17
3611.7542,4.3405113E-16,9.819267E-18,3.559462E-17
3615.8357,4.6606934E-16,9.9526495E-18,3.184321E-17
3619.9172,4.286311E-16,9.630223E-18,3.6107512E-17
3623.9985,4.459038E-16,9.74469E-18,4.5229644E-17
3628.08,4.1700332E-16,9.4378115E-18,4.1041665E-17
3632.1616,4.368235E-16,9.509923E-18,3.994094E-17
3636.243,4.1643946E-16,9.307811E-18,4.220318E-17
3640.3245,4.3153883E-16,9.295915E-18,3.5234307E-17
3644.406,4.3336988E-16,9.256131E-18,3.8791647E-17
3648.4873,4.405989E-16,9.278331E-18,4.291442E-17
3652.5688,4.3216955E-16,9.148962E-18,4.0925333E-17
3656.6504,4.2837034E-16,9.047628E-18,3.9580847E-17
3660.7317,4.2299505E-16,8.944643E-18,3.9599902E-17
3664.8132,4.3577516E-16,8.939362E-18,3.438999E-17
3668.8948,4.481638E-16,8.930983E-18,2.960936E-17
3672.9763,4.584566E-16,8.946718E-18,3.0977672E-17
3677.0576,4.416465E-16,8.739295E-18,2.599508E-17
3681.1392,4.4097655E-16,8.7407174E-18,3.5908834E-17
3685.2207,4.2975953E-16,8.552755E-18,2.837501E-17
3689.302,4.2910128E-16,8.541074E-18,3.527816E-17
3693.3835,4.3204326E-16,8.555818E-18,4.282227E-17
3697.465,4.1529578E-16,8.370643E-18,4.1094885E-17
3701.5464,4.4201049E-16,8.401451E-18,2.6376095E-17
3705.628,4.389359E-16,8.365564E-18,3.1526235E-17
3709.7095,4.425354E-16,8.3610994E-18,3.538167E-17
3713.7908,4.43062E-16,8.303588E-18,3.317028E-17
3717.8723,4.2735388E-16,8.156132E-18,3.563147E-17
3721.9539,4.3667992E-16,8.146037E-18,3.1637653E-17
3726.0352,4.243378E-16,8.06194E-18,3.8806146E-17
3730.1167,4.2965495E-16,8.0262675E-18,3.5353233E-17
3734.1982,4.2656487E-16,7.982175E-18,3.8475687E-17
3738.2795,4.124658E-16,7.8202565E-18,3.5436176E-17
3742.361,4.120057E-16,7.771571E-18,3.5511178E-17
3746.4426,4.179606E-16,7.769882E-18,3.5390112E-17
3750.5242,4.1071413E-16,7.662936E-18,3.41416E-17
3754.6055,4.0908933E-16,7.5994605E-18,3.1966752E-17
3758.687,3.9737632E-16,7.512033E-18,3.7121596E-17
3762.7686,4.1657628E-16,7.577508E-18,3.3347065E-17
3766.8499,4.223473E-16,7.599372E-18,3.7153112E-17
3770.9314,4.2111627E-16,7.547524E-18,3.6840864E-17
3775.013,4.1913133E-16,7.460739E-18,3.1160364E-17
3779.0942,4.1193142E-16,7.410066E-18,3.6925313E-17
3783.1758,4.0189747E-16,7.29479E-18,3.4983956E-17
3787.2573,4.1260087E-16,7.305063E-18,3.136133E-17
3791.3386,4.2084742E-16,7.291444E-18,2.6749251E-17
3795.4202,4.0604555E-16,7.195001E-18,3.1958646E-17
3799.5017,4.0887297E-16,7.188307E-18,3.3483775E-17
3803.583,4.1728157E-16,7.201216E-18,3.1680508E-17
3807.6646,4.0171946E-16,7.074381E-18,3.252993E-17
3811.746,4.100927E-16,7.065158E-18,2.886654E-17
