WAVE,FLUX,ERR,SKYBACK
3638.9656,9.095006E-17,8.543248E-18,3.3138017E-16
3644.4846,8.7789856E-17,8.3526514E-18,3.2231388E-16
3650.004,1.01963894E-16,8.184034E-18,2.9153344E-16
3655.523,1.0077437E-16,7.972174E-18,2.7452023E-16
3661.0422,1.0344172E-16,7.772464E-18,2.5473468E-16
3666.5613,1.1796355E-16,7.4930205E-18,2.0145495E-16
3672.0803,1.09571626E-16,7.267755E-18,1.8988994E-16
3677.5996,1.3494218E-16,7.286916E-18,1.7565453E-16
3683.1187,1.1369919E-16,7.137654E-18,1.9843977E-16
3688.638,1.2285845E-16,7.233678E-18,2.2206972E-16
3694.157,1.2245702E-16,7.325973E-18,2.618254E-16
3699.676,1.07695594E-16,7.139925E-18,2.6592425E-16
3705.1953,1.1905922E-16,7.098999E-18,2.597664E-16
3710.7144,1.1027564E-16,6.769369E-18,2.2133025E-16
3716.2336,1.2952827E-16,6.8232946E-18,2.2023587E-16
3721.7527,1.2148696E-16,6.8119953E-18,2.464772E-16
3727.272,1.1195445E-16,6.8604755E-18,2.8878884E-16
3732.791,9.4515675E-17,6.8807067E-18,3.3741576E-16
3738.31,9.401682E-17,6.7568447E-18,3.2611991E-16
3743.8293,1.0017257E-16,6.5554767E-18,2.879714E-16
3749.3484,1.0599428E-16,6.351334E-18,2.5029355E-16
3754.8677,8.6889196E-17,6.065256E-18,2.3484526E-16
3760.3867,1.0806497E-16,6.0572525E-18,2.1242445E-16
3765.9058,1.02807155E-16,6.009978E-18,2.2177482E-16
3771.425,1.2379417E-16,6.0814844E-18,2.1795146E-16
3776.944,1.0966657E-16,5.9181766E-18,2.1615096E-16
3782.4634,1.07047614E-16,5.784782E-18,2.0489764E-16
3787.9824,9.998586E-17,5.726326E-18,2.1232109E-16
3793.5017,1.2027664E-16,5.789212E-18,2.0592329E-16
3799.0208,1.1848763E-16,5.7175075E-18,2.0483301E-16
3804.5398,1.1223914E-16,5.640865E-18,2.0742229E-16
3810.059,1.1268337E-16,5.6141476E-18,2.105613E-16
3815.5781,1.1190682E-16,5.6774795E-18,2.366002E-16
3821.0974,1.1515189E-16,5.797491E-18,2.670314E-16
3826.6165,1.2282167E-16,5.884612E-18,2.8592365E-16
3832.1355,1.298939E-16,5.886577E-18,2.8704051E-16
3837.6548,1.2654905E-16,5.7692642E-18,2.7272367E-16
3843.1738,1.286295E-16,5.6068734E-18,2.418261E-16
3848.693,1.2802682E-16,5.502011E-18,2.2651117E-16
3854.2122,1.2208025E-16,5.27464E-18,1.9279507E-16
3859.7314,1.2750605E-16,5.220596E-18,1.8072943E-16
3865.2505,1.30805E-16,5.1284404E-18,1.6388387E-16
3870.7695,1.3989821E-16,5.1101717E-18,1.5292808E-16
3876.2888,1.393181E-16,5.004851E-18,1.3957834E-16
3881.8079,1.2991925E-16,4.9348148E-18,1.446077E-16
3887.3271,1.2538279E-16,4.866786E-18,1.4261249E-16
3892.8462,1.2785621E-16,4.9104646E-18,1.5522567E-16
3898.3652,1.228579E-16,5.0375692E-18,1.9709436E-16
3903.8845,1.309182E-16,5.1380915E-18,2.1569157E-16
3909.4036,1.1863962E-16,5.1040067E-18,2.338396E-16
3914.9229,1.1769216E-16,4.9839017E-18,2.1322465E-16
3920.442,1.1041158E-16,4.769426E-18,1.8219818E-16
3925.9612,1.2243058E-16,4.713321E-18,1.5813621E-16
3931.4802,1.2603955E-16,4.6939567E-18,1.5344317E-16
3936.9993,1.2341705E-16,4.749384E-18,1.7513112E-16
3942.5186,1.3276506E-16,4.8633005E-18,1.9314469E-16
3948.0376,1.4000287E-16,4.917889E-18,2.0095959E-16
3953.557,1.4337355E-16,4.8367993E-18,1.8270972E-16
3959.076,1.5350838E-16,4.7361574E-18,1.5208924E-16
3964.595,1.586175E-16,4.705371E-18,1.4246116E-16
3970.1143,1.5595895E-16,4.6784248E-18,1.4515385E-16
3975.6333,1.3123252E-16,4.5701472E-18,1.6053871E-16
3981.1526,1.2800824E-16,4.618847E-18,1.8293364E-16
3986.6716,1.4704488E-16,4.7298196E-18,1.8591265E-16
3992.1907,1.5052092E-16,4.69151E-18,1.7672761E-16
3997.71,1.5444162E-16,5.0257426E-18,1.8098353E-16
4003.229,1.4357513E-16,4.964144E-18,1.9602121E-16
4008.7483,1.2392903E-16,4.6387197E-18,2.1765233E-16
4014.2673,1.0990223E-16,4.5388223E-18,2.1844363E-16
4019.7866,1.0266849E-16,4.451638E-18,2.1334666E-16
4025.3057,1.1398254E-16,4.4488805E-18,2.0089786E-16
4030.8247,1.3412064E-16,4.5366286E-18,1.9628436E-16
4036.344,1.4858132E-16,4.6299036E-18,2.0363483E-16
4041.863,1.5073561E-16,4.6726486E-18,2.1634812E-16
4047.3823,1.5662187E-16,4.717854E-18,2.233326E-16
4052.9014,1.5036984E-16,4.6873567E-18,2.297316E-16
4058.4204,1.5759273E-16,4.70154E-18,2.2783574E-16
4063.9397,1.5466906E-16,4.685524E-18,2.3263093E-16
4069.4587,1.3458293E-16,4.597916E-18,2.430277E-16
4074.978,1.3450709E-16,4.538402E-18,2.316484E-16
4080.497,1.3111463E-16,4.4829053E-18,2.2649185E-16
4086.0164,1.4672057E-16,4.5145905E-18,2.1639029E-16
4091.5354,1.5823014E-16,4.5035973E-18,2.0018675E-16
4097.0547,1.6393997E-16,4.4561667E-18,1.8361324E-16
4102.5737,1.6858395E-16,4.431978E-18,1.7452054E-16
4108.093,1.5772258E-16,4.364232E-18,1.7718234E-16
4113.612,1.3920235E-16,4.233994E-18,1.7392043E-16
4119.1313,1.0942957E-16,4.1013596E-18,1.8853179E-16
4124.6504,9.157114E-17,4.006761E-18,1.9477863E-16
4130.1694,9.915181E-17,4.0728988E-18,2.0255051E-16
4135.6885,1.2868711E-16,4.2253312E-18,1.996935E-16
4141.2075,1.5259353E-16,4.3183845E-18,1.9170247E-16
4146.727,1.5334993E-16,4.3065368E-18,1.9059673E-16
4152.246,1.4278272E-16,4.2685617E-18,1.9867105E-16
