WAVE,FLUX,ERR,SKYBACK
3340.8281,2.8464532E-16,3.7025742E-17,1.2999137E-15
3344.9092,2.6927103E-16,3.654136E-17,1.3795324E-15
3348.9905,2.5205996E-16,3.653145E-17,1.4261507E-15
3353.0715,3.0876114E-16,3.625796E-17,1.5148857E-15
3357.1528,3.5684934E-16,3.5771174E-17,1.4459975E-15
3361.234,2.4161387E-16,3.445556E-17,1.5168728E-15
3365.315,2.8356516E-16,3.3887095E-17,1.4508959E-15
3369.3962,3.8865458E-16,3.4450117E-17,1.4789629E-15
3373.4773,3.1905452E-16,3.6628193E-17,1.5089993E-15
3377.5586,3.507551E-16,3.305527E-17,1.496895E-15
3381.6396,2.1897247E-16,3.180211E-17,1.5832023E-15
3385.7207,3.0797962E-16,3.1861594E-17,1.5326123E-15
3389.802,2.6170287E-16,3.0704005E-17,1.4824818E-15
3393.883,3.1525E-16,3.0270397E-17,1.3967344E-15
3397.9644,2.745868E-16,2.95494E-17,1.4178895E-15
3402.0454,3.4859697E-16,3.0037946E-17,1.473802E-15
3406.1265,2.9509643E-16,2.9407432E-17,1.5233003E-15
3410.2078,2.612624E-16,2.8703872E-17,1.525089E-15
3414.2888,2.9109065E-16,2.866402E-17,1.5424602E-15
3418.37,3.0094257E-16,2.791284E-17,1.4439331E-15
3422.4512,3.0136111E-16,2.6716769E-17,1.2628487E-15
3426.5322,2.2029994E-16,2.5648409E-17,1.2717527E-15
3430.6135,2.6359287E-16,2.5652383E-17,1.2595578E-15
3434.6946,2.5315978E-16,2.5874496E-17,1.4039393E-15
3438.776,2.745409E-16,2.597176E-17,1.4570185E-15
3442.857,2.6695204E-16,2.5474145E-17,1.4265996E-15
3446.938,2.875298E-16,2.507379E-17,1.3679642E-15
3451.0193,2.5914197E-16,2.4736853E-17,1.415938E-15
3455.1003,2.0129717E-16,2.3878573E-17,1.4027497E-15
3459.1816,2.5230989E-16,2.380828E-17,1.3479035E-15
3463.2627,2.2554076E-16,2.3518831E-17,1.3933796E-15
3467.3438,3.1743706E-16,2.397418E-17,1.3827192E-15
3471.425,2.8652663E-16,2.369616E-17,1.4383483E-15
3475.506,3.078886E-16,2.3298677E-17,1.3595852E-15
3479.5874,2.4711988E-16,2.2303325E-17,1.2989473E-15
3483.6685,2.3184488E-16,2.2085822E-17,1.3260421E-15
3487.7495,2.4189625E-16,2.2401543E-17,1.437283E-15
3491.8308,2.5042317E-16,2.2451877E-17,1.4856215E-15
3495.9119,2.9480857E-16,2.2306525E-17,1.4178475E-15
3499.9932,2.385931E-16,2.1496404E-17,1.3758213E-15
3504.0742,2.7782654E-16,2.1499852E-17,1.3495236E-15
3508.1553,2.69717E-16,2.1066422E-17,1.3081903E-15
3512.2366,2.5913438E-16,2.0555916E-17,1.2552985E-15
3516.3176,2.562707E-16,2.0335178E-17,1.2494662E-15
3520.399,2.7283154E-16,2.0555178E-17,1.3158948E-15
3524.48,2.6860495E-16,2.0679158E-17,1.3994032E-15
3528.561,2.900045E-16,2.0929726E-17,1.4653437E-15
3532.6423,2.9806864E-16,2.0988974E-17,1.5120357E-15
3536.7234,2.7264656E-16,2.0845292E-17,1.5643439E-15
3540.8047,2.881427E-16,2.0477917E-17,1.4802324E-15
3544.8857,2.7075014E-16,2.0034094E-17,1.4397949E-15
3548.9668,2.8481152E-16,1.9832628E-17,1.3984633E-15
3553.048,2.858818E-16,1.9301957E-17,1.3034907E-15
3557.1292,2.5242238E-16,1.8462552E-17,1.1864461E-15
3561.2104,2.5297182E-16,1.7934971E-17,1.0924154E-15
3565.2915,2.7576418E-16,1.7820978E-17,1.0530766E-15
3569.3726,2.4361523E-16,1.7380499E-17,1.0376066E-15
