WAVE,FLUX,ERR,BGFLUX
8868.3,3.7141468E-16,9.344044E-18,4.1199955E-16
8872.514,3.5305598E-16,9.257322E-18,4.1159327E-16
8876.729,4.0458942E-16,1.032468E-17,6.255606E-16
8880.942,3.9376942E-16,1.099314E-17,8.3758694E-16
8885.157,3.8458083E-16,1.1039194E-17,8.6003353E-16
8889.371,3.7119996E-16,1.0697978E-17,7.704107E-16
8893.585,3.699339E-16,9.650919E-18,4.7049435E-16
8897.8,3.654334E-16,9.603518E-18,4.6082965E-16
8902.014,3.5208404E-16,9.632957E-18,4.8345544E-16
8906.229,3.5922445E-16,9.679072E-18,4.8104367E-16
8910.442,3.136418E-16,1.05264995E-17,7.805216E-16
8914.656,3.239488E-16,1.1113901E-17,9.371326E-16
8918.871,3.7026746E-16,1.1429836E-17,9.603273E-16
8923.085,3.5785151E-16,1.1108171E-17,8.7526376E-16
8927.3,3.595797E-16,9.326881E-18,3.7193878E-16
8931.514,3.5474703E-16,8.80908E-18,2.502948E-16
8935.728,3.6508526E-16,9.451175E-18,3.8895594E-16
8939.942,3.6187635E-16,9.571472E-18,4.21972E-16
8944.156,3.3733775E-16,9.405639E-18,4.1296186E-16
8948.371,3.101463E-16,1.00556095E-17,6.20994E-16
8952.585,2.905789E-16,1.0407328E-17,7.458565E-16
8956.799,3.0448108E-16,1.0403866E-17,7.231779E-16
8961.014,3.5593794E-16,1.0464733E-17,6.68014E-16
8965.228,3.7827163E-16,9.463109E-18,3.7150968E-16
8969.442,3.5892137E-16,8.594536E-18,1.9130015E-16
8973.656,3.7871965E-16,8.7500646E-18,1.9847978E-16
8977.871,3.9570446E-16,9.0156954E-18,2.369658E-16
8982.085,3.882862E-16,9.298455E-18,3.1467592E-16
8986.299,3.7952497E-16,9.249256E-18,3.164296E-16
8990.514,3.6318705E-16,9.599638E-18,4.21574E-16
8994.728,3.656182E-16,1.0124414E-17,5.4842053E-16
8998.942,3.9117075E-16,9.999001E-18,4.749462E-16
