wavelength flux
3525.2883 5.5706e-17
3527.3528 5.03318e-17
3529.4175 4.919e-17
3531.4827 4.97555e-17
3533.5483 4.92874e-17
3535.6143 4.65662e-17
3537.6809 5.06058e-17
3539.7478 4.75046e-17
3541.8149 4.79152e-17
3543.8828 4.87563e-17
3545.9509 4.57344e-17
3548.0195 4.54578e-17
3550.0884 4.88452e-17
3552.158 5.16871e-17
3554.2278 5.27773e-17
3556.2981 5.20935e-17
3558.3687 4.29657e-17
3560.4397 5.01785e-17
3562.5112 4.59511e-17
3564.583 4.65084e-17
3566.6555 4.94269e-17
3568.7283 5.19422e-17
3570.8015 4.84059e-17
3572.875 5.03383e-17
3574.949 5.38911e-17
3577.0232 5.26497e-17
3579.0981 4.57757e-17
3581.1733 4.73666e-17
3583.249 5.12592e-17
3585.325 5.03645e-17
3587.4016 4.29725e-17
3589.4783 5.31726e-17
3591.5557 4.96572e-17
3593.6333 4.70909e-17
3595.7112 4.46058e-17
3597.7898 4.70775e-17
3599.8687 5.2327e-17
3601.948 4.4526e-17
3604.0276 5.16943e-17
3606.1077 4.83885e-17
3608.188 4.58613e-17
3610.269 4.77417e-17
3612.3503 4.90004e-17
3614.4319 4.86702e-17
3616.5139 4.37166e-17
3618.5964 4.81476e-17
3620.6792 4.71167e-17
3622.7627 5.20655e-17
3624.8462 4.35914e-17
3626.9304 4.32741e-17
3629.0146 4.80426e-17
3631.0996 4.70268e-17
3633.1848 4.62994e-17
3635.2703 4.96384e-17
3637.3562 4.79625e-17
3639.4426 4.59115e-17
3641.5295 4.56194e-17
3643.6167 4.83406e-17
3645.7041 5.11288e-17
3647.792 4.52023e-17
3649.8804 4.62212e-17
3651.969 4.29815e-17
3654.0581 4.04534e-17
3656.1477 4.44111e-17
3658.2375 4.56829e-17
3660.3279 4.45532e-17
3662.4185 4.6945e-17
3664.5095 4.60287e-17
3666.6006 5.0776e-17
3668.6924 4.73961e-17
3670.7847 4.76338e-17
3672.8772 4.4503e-17
3674.97 4.5277e-17
3677.0632 4.81327e-17
3679.157 4.66211e-17
3681.251 4.05412e-17
3683.3452 4.4834e-17
3685.4399 4.53045e-17
3687.5352 4.93774e-17
3689.6306 4.90506e-17
3691.7266 4.53063e-17
3693.8228 4.68219e-17
3695.9192 4.55386e-17
3698.0164 4.71027e-17
3700.1135 4.72338e-17
3702.2112 4.70823e-17
3704.3093 4.98476e-17
3706.4077 4.0931e-17
3708.5066 4.90577e-17
3710.6057 4.42573e-17
3712.7053 4.89459e-17
3714.8052 4.59059e-17
3716.9055 4.59583e-17
3719.0061 4.627e-17
3721.1069 4.90402e-17
3723.2083 4.42955e-17
3725.3101 4.74897e-17
3727.4121 4.67244e-17
3729.5144 4.75859e-17
3731.6172 4.65554e-17
3733.7205 4.31956e-17
3735.8237 4.75835e-17
3737.9277 4.75375e-17
3740.0317 4.57629e-17
3742.1365 4.38352e-17
3744.2412 4.60889e-17
3746.3464 4.44626e-17
3748.4521 4.6304e-17
3750.5581 4.7627e-17
3752.6643 4.39668e-17
3754.771 3.87994e-17
3756.8779 4.68725e-17
3758.9851 4.51705e-17
3761.093 4.69884e-17
3763.2009 4.57099e-17
3765.3093 4.74765e-17
3767.418 4.44636e-17
3769.5271 4.26193e-17
3771.6365 4.15992e-17
3773.7461 4.32385e-17
3775.8562 4.57724e-17
3777.9668 4.27949e-17
3780.0774 4.70979e-17
3782.1885 4.77173e-17
