"TDE_name","mjd","mag_w2_src","magerr_w2_src","mag_m2_src","magerr_m2_src","mag_w1_src","magerr_w1_src","mag_uu_src","magerr_uu_src","mag_bb_src","magerr_bb_src","mag_vv_src","magerr_vv_src"
"Swift_J1644+57",55648.5621961576,21.5873486660526,0,21.3164895096211,0,21.5910832879572,0,21.3934958194241,0,21.3682692470208,0,20.814091538436,0
"Swift_J1644+57",55648.9565360308,,,,,,,22.0930607834248,0,,,,
"Swift_J1644+57",55649.7026696292,,,,,,,20.4919274368672,0,,,,
"Swift_J1644+57",55649.7755054056,19.916544220303,0,19.5685784814386,0,19.8923390427022,0,20.1434601297446,0,20.5785767696903,0,19.3782198848381,0
"Swift_J1644+57",55649.8930786458,,,,,,,22.2948849716573,0,,,,
"Swift_J1644+57",55650.6842361343,,,,,,,21.9413388290791,0,,,,
"Swift_J1644+57",55651.0274403537,,,,,,,22.2343628921895,0,,,,
"Swift_J1644+57",55652.0369938137,,,,,22.50240068821,0,,,,,,
"Swift_J1644+57",55653.0430926021,,,,,22.392501167336,0,,,,,,
"Swift_J1644+57",55654.0320958829,,,23.8529236832051,0.97281504,,,,,,,,
"Swift_J1644+57",55655.0373871299,,,,,22.379670433083,0,,,,,,
"Swift_J1644+57",55656.0527692738,,,,,,,22.4150059738545,0,,,,
"Swift_J1644+57",55657.0597213215,22.8606808700948,0,,,,,,,,,,
"Swift_J1644+57",55658.0645834799,,,22.4097378769307,0,,,,,,,,
"Swift_J1644+57",55659.0671352944,,,,,22.0456440964131,0,,,,,,
"Swift_J1644+57",55660.071211934,,,,,,,22.0525963821797,0,,,,
"Swift_J1644+57",55661.0055488268,22.6582596817403,0,,,,,,,,,,
"Swift_J1644+57",55662.009761809,,,23.5591271438985,0.9435343,,,,,,,,
"Swift_J1644+57",55681.0174429007,22.2876828232198,0,,,,,,,,,,
"Swift_J1644+57",55682.0179526259,,,21.7640011825948,0,,,,,,,,
"Swift_J1644+57",55688.1051795782,,,,,,,22.0879128494649,0,,,,
"Swift_J1644+57",55690.0452308602,,,21.9932473221211,0,,,,,,,,
"Swift_J1644+57",55691.1149088558,,,,,22.198180488625,0,,,,,,
"Swift_J1644+57",55692.0514263792,,,,,,,22.2039273300557,0,,,,
"Swift_J1644+57",55693.0395176069,22.4683106460957,0,,,,,,,,,,
"Swift_J1644+57",55694.1086573231,,,22.1487877884297,0,,,,,,,,
"Swift_J1644+57",55695.3140793014,,,,,22.0438855209737,0,,,,,,
"Swift_J1644+57",55696.0482206058,,,,,,,22.2896683731465,0,,,,
"Swift_J1644+57",55697.9866578012,22.3511426113651,0,20.6956475296407,0,,,,,,,,
"Swift_J1644+57",55698.0572416264,,,22.6147606888203,0.56856227,20.5719754360721,0,,,,,,
"Swift_J1644+57",55699.0570221035,,,,,23.2188675918965,0.8687509,,,,,,
"Swift_J1644+57",55700.0641932113,,,,,,,22.2792027511983,0,,,,
"Swift_J1644+57",55701.0110667199,22.4356110611348,0,,,,,,,,,,
"Swift_J1644+57",55702.2138507889,,,21.5641778030782,0,,,,,,,,
"Swift_J1644+57",55704.0066251037,,,,,,,22.1433575668721,0,,,,
"Swift_J1644+57",55707.1542483273,,,,,21.8988907852559,0,,,,,,
"Swift_J1644+57",55708.0903968363,,,,,,,22.2538807907491,0,,,,
"Swift_J1644+57",55709.4317693991,22.0721600571065,0,,,,,,,,,,
"Swift_J1644+57",55710.2370930646,,,22.0501072922139,0,,,,,,,,
"Swift_J1644+57",55711.3094105893,,,,,21.7351830521016,0,,,,,,
"Swift_J1644+57",55712.5158843817,,,,,,,21.8949235000996,0,,,,
"Swift_J1644+57",55713.394621106,22.4254220047383,0.73168105,,,,,,,,,,
"Swift_J1644+57",55714.0014063887,,,21.84859209446,0,,,,,,,,
"Swift_J1644+57",55715.0017322725,,,,,21.9151394882588,0,,,,,,
"Swift_J1644+57",55716.0030080907,,,,,,,22.0875371017842,0,,,,
"Swift_J1644+57",55717.0062899486,22.1273625412373,0,,,,,,,,,,
"Swift_J1644+57",55718.009459569,,,22.0649312057881,0.4054356,,,,,,,,
"Swift_J1644+57",55719.0127510016,,,,,22.0039265671162,0,,,,,,
"Swift_J1644+57",55720.0159381935,,,,,,,21.9572003403096,0,,,,
"Swift_J1644+57",55720.2828565954,21.5854981460957,0.6572337,,,,,,,,,,
"Swift_J1644+57",55721.0887591792,22.2411740341573,0,,,,,,,,,,
"Swift_J1644+57",55722.0919223407,,,22.2669404068379,0.5675194,,,,,,,,
"Swift_J1644+57",55723.0255190255,,,,,22.0475705185323,0,,,,,,
"Swift_J1644+57",55727.0374133458,,,,,23.0291951218037,0.8970075,,,,,,
"Swift_J1644+57",55728.0393785498,,,,,,,21.9431946792989,0,,,,
"Swift_J1644+57",55730.0425753683,,,22.8694661178975,0.88355845,,,,,,,,
"Swift_J1644+57",55731.2557725005,,,,,21.683194450417,0,,,,,,
"Swift_J1644+57",55732.2461076935,,,,,,,21.9264843979268,0,,,,
"Swift_J1644+57",55733.0627225414,23.1672184982686,0.7685913,20.8006970547245,0,,,,,,,,
