"TDE_name","mjd","mag_w2_src","magerr_w2_src","mag_m2_src","magerr_m2_src","mag_w1_src","magerr_w1_src","mag_uu_src","magerr_uu_src","mag_bb_src","magerr_bb_src","mag_vv_src","magerr_vv_src"
"AT_2023cvb",60062.2615028262,15.8044168032511,0.036369577,15.2558314945893,0.041042387,14.9851504730925,0.03830799,15.2940337422248,0.04306039,,,,
"AT_2023cvb",60072.4504962722,15.7307335576881,0.036118586,15.2885075821224,0.041728694,15.073775096337,0.039482005,15.3688213209084,0.044067048,,,,
"AT_2023cvb",60082.4352688956,15.4387261003197,0.0378531,15.1525597832822,0.043755956,15.7182649399627,0.042478077,15.8658486086308,0.04688092,,,,
"AT_2023cvb",60159.1126882454,,,,,15.9882138887302,0.02590436,,,,,,
"AT_2023cvb",60202.5961658153,,,16.6058888239922,0.052952114,16.6948173753773,0.117007576,,,,,,
"AT_2023cvb",60207.0951388356,,,,,16.7525337201192,0.048742577,,,,,,
"AT_2023cvb",60405.6753241794,,,17.3699518499712,0.048378855,,,,,,,,
"AT_2023cvb",60443.4643897299,17.5759132272456,0.14663312,17.9473078039326,0.2727064,17.1096433230528,0.2146733,17.1730320702595,0.2255645,17.2023653598565,0.14428172,16.8749929310841,0.1898936
"AT_2023cvb",60448.9169680546,17.6327903051622,0.1415574,17.4784061986518,0.18932489,16.9934960834627,0.18644239,17.2738186156554,0.18139982,17.2332813460834,0.155031,16.773924100602,0.14151528
"AT_2023cvb",60460.043868285,17.0085812211958,0.15593374,18.3932301740456,0.44070026,17.9906951881938,0.2653775,17.2901623824784,0.18514141,17.5803168868317,0.15600678,16.2714716192652,0.1926826
"AT_2023cvb",60560.4626688208,17.4824135896703,0.08667994,17.6340506804844,0.1253351,17.7051409711647,0.10667384,17.5982872279576,0.088161886,17.6798458052539,0.06590234,16.6138918281651,0.08047236
