"TDE_name","mjd","mag_w2_src","magerr_w2_src","mag_m2_src","magerr_m2_src","mag_w1_src","magerr_w1_src","mag_uu_src","magerr_uu_src","mag_bb_src","magerr_bb_src","mag_vv_src","magerr_vv_src"
"AT_2020wey",59150.1883898655,15.3605788677195,0.033245943,15.7187111962397,0.036563545,15.7584970694133,0.047717158,16.2018846961931,0.07317481,16.7642184135658,0.081688024,16.5763502836006,0.10835882
"AT_2020wey",59154.0249306056,15.791778733473,0.03354549,15.9660197507059,0.035397492,15.8949838948848,0.042625014,16.1088570088818,0.05434162,17.0904240323473,0.062902644,16.7216338330737,0.099636875
"AT_2020wey",59158.0225862854,15.6808229591021,0.03475948,16.0123791739017,0.03674574,16.3456325957362,0.04558448,16.578888247805,0.06153564,17.205532061019,0.064846784,16.6128178148194,0.10692999
"AT_2020wey",59162.6552199609,16.7742830117613,0.04487947,16.942193153997,0.046403512,16.8275265937688,0.055776175,16.6678502899696,0.06313569,17.2150548878537,0.06046837,16.8762427744929,0.08345063
"AT_2020wey",59166.5822647234,17.1430178292586,0.060588095,17.308848454551,0.060725037,17.4072620867995,0.074711144,17.3116420178331,0.08254502,17.6341065905334,0.07101272,16.8241193997769,0.09363974
"AT_2020wey",59180.0420850111,17.8350793391693,0.06146082,17.8811234996836,0.06291481,18.00384957604,0.079518095,17.709123357302,0.07903031,17.6799187644845,0.058776326,16.7918794932257,0.07635556
"AT_2020wey",59187.0084790704,18.3619062465776,0.13141511,18.5150523465629,0.20134923,17.97296282423,0.12632108,17.616172529831,0.1326662,17.5864028530292,0.09756271,16.8353794263953,0.11859429
"AT_2020wey",59197.0570327954,18.0152462804134,0.26752734,17.9319026829894,0.30199882,18.0733138055763,0.29183283,,,,,,
"AT_2020wey",59201.3779208764,18.2055677191404,0.14086777,18.2252260627951,0.15214203,18.0019507332876,0.16265607,,,,,,
"AT_2020wey",60539.2175481486,20.04035359482,0.5080284,19.2780155746097,0,18.9808715462602,0.41515997,17.5158829002231,0.17275801,17.5251089775267,0.119008355,17.0526452872348,0.13996379
"AT_2020wey",60542.5739246579,20.034927102052,0.56538224,18.923088127919,0,19.4769998557992,0.513965,17.9293309334526,0.17453842,17.9921543337515,0.1367414,16.7092934485277,0.11544129
"AT_2020wey",60543.159876325,20.2038766030083,0.86026764,,,18.4252186363418,0.41528845,17.9194504937757,0.3283334,17.6581269141039,0.18801819,16.8889585502572,0.1931137
"AT_2020wey",60545.2610594736,19.5036921599108,0.29052818,20.1512679264403,0.5727767,18.8928433461819,0.23712055,18.2415225065945,0.185135,17.8909076034606,0.107675694,16.7700876684894,0.101627976
