"TDE_name","mjd","mag_w2_src","magerr_w2_src","mag_m2_src","magerr_m2_src","mag_w1_src","magerr_w1_src","mag_uu_src","magerr_uu_src","mag_bb_src","magerr_bb_src","mag_vv_src","magerr_vv_src"
"AT_2022exr",59687.0051484898,17.3488510112745,0.07230079,17.1177822221352,0.080764405,16.5879955382998,0.068143226,16.5587567778689,0.0643257,,,,
"AT_2022exr",59694.1742168838,17.5351762698294,0.07150478,17.4800949835334,0.085380785,16.8720386978415,0.071263514,16.6720757103419,0.061031442,,,,
"AT_2022exr",59701.0030610829,17.5310285814904,0.08608427,17.3529573281318,0.10140997,17.2855946410862,0.089550465,17.0901228371607,0.076158546,,,,
"AT_2022exr",59743.2329866275,17.1736564239995,0.07127346,16.9554553244607,0.06662917,16.6159122260518,0.076719,17.1339422916249,0.108771585,18.2035806941735,0.17328304,17.6215895985824,0.17764871
"AT_2022exr",59753.7859664419,16.4116738447582,0.058185723,16.474146780243,0.057462286,16.9001926306641,0.074488916,16.9852947894988,0.09286099,18.2045505955631,0.13766569,17.2322177308141,0.17984179
"AT_2022exr",59763.2135040324,16.6378874082606,0.0639674,16.6263427815603,0.0588801,16.921321339009,0.07374781,17.1453232263035,0.09709725,18.0795893235878,0.12721997,17.6769583979409,0.23146455
"AT_2022exr",59774.2826561796,17.0278522323445,0.061161008,16.5637358317045,0.07969323,16.7075540098092,0.074651666,16.7315693713331,0.0882123,17.8603596497218,0.112680174,17.3865703414271,0.14607519
"AT_2022exr",59802.6595030259,16.7749589200461,0.053989246,16.9340077849782,0.07653341,17.2852325332611,0.076288916,17.323596456778,0.07844877,18.1532601128696,0.09141436,17.2181965267847,0.12136959
"AT_2022exr",59812.0023338641,17.2188574945634,0.06145407,16.9756076830909,0.079460815,17.1000280317105,0.08954114,17.2926018698983,0.08859362,18.2360405385789,0.13235173,17.8301640283216,0.15553778
"AT_2022exr",59822.6854229398,16.7287086830519,0.06463225,16.6456140974614,0.08182991,17.3130036387675,0.10048263,17.4042128153968,0.09699858,18.1756383094328,0.11212924,17.5275645585157,0.1660051
"AT_2022exr",59824.3351779317,16.8169163180799,0.05854748,17.0710929928114,0.08947992,16.9651888007431,0.09404712,17.1694805085594,0.09710867,,,,
"AT_2022exr",59825.5255297113,16.6600531575451,0.06522103,16.7183526289398,0.0955401,17.0406790978117,0.10056421,17.2205215357899,0.098994754,,,,
"AT_2022exr",59826.9147861238,16.8030186492005,0.057519823,16.7961104244683,0.08476801,16.9494015037639,0.09122086,17.0584287588238,0.09589526,,,,
"AT_2022exr",59827.7767958171,16.5536395278591,0.062457263,16.7189547619975,0.09551433,17.1294383286705,0.09901852,17.1510475944255,0.104572654,,,,
"AT_2022exr",59833.6797348065,16.7758833467752,0.07342781,16.9018276865799,0.09943918,17.161891786897,0.104062475,17.4678964232401,0.13926184,18.3006325379451,0.18524368,17.2860407678494,0.17084873
"AT_2022exr",59837.1153734093,17.1967292595672,0.06624197,16.8780661634105,0.15602145,16.9932530961666,0.06868739,17.2299815073487,0.08349696,18.2698979829861,0.10334543,18.0890509158734,0.25119376
"AT_2022exr",59842.2252795972,16.851105913665,0.1413865,17.0109222619436,0.1816598,17.4666760077723,0.18690778,,,,,,
"AT_2022exr",59843.950788391,17.3420935382028,0.2223957,16.9761346089807,0.2080176,17.0281718959035,0.24656847,,,,,,
"AT_2022exr",59846.2866099363,17.1303943908628,0.11210357,16.9832913329377,0.12884794,17.2803035135663,0.11028075,,,,,,
"AT_2022exr",59846.6126329644,17.1166944380165,0.14660415,17.4396109299046,0.1992592,17.266823444142,0.15452641,,,,,,
"AT_2022exr",59847.0088358012,17.278006114218,0.106163524,16.8987458786669,0.11393577,17.3059386954354,0.122743145,,,,,,
"AT_2022exr",59849.9912865333,17.2552906675218,0.11865961,17.3604214363588,0.16623051,17.224406169734,0.11739398,,,,,,
"AT_2022exr",59851.1753455282,17.264640801581,0.1867556,17.2708831414341,0.22615907,17.4684389692152,0.17068411,,,,,,
"AT_2022exr",59853.5008978907,17.1012427481994,0.13285391,17.3959575605847,0.20895883,17.4328168885221,0.18745784,,,,,,
"AT_2022exr",59855.2195579692,17.1138476720995,0.19841759,16.9859040443582,0.23361,17.717009078758,0.27077177,,,,,,
"AT_2022exr",59855.950252118,17.1524939767883,0.1832768,17.5076538558228,0.24127275,17.3429274809912,0.1896522,,,,,,
"AT_2022exr",59857.2292313495,17.2410589706834,0.14736156,17.2046948265496,0.16770536,17.5852278427291,0.14964809,,,,,,
"AT_2022exr",59858.8657458773,17.0540549565757,0.2165947,17.7810408009925,0.39831814,17.627331094839,0.23758334,,,,,,
"AT_2022exr",59860.5289171012,17.3900675705951,0.17080867,17.367313779965,0.18759698,17.2956200121297,0.1441351,,,,,,
"AT_2022exr",59861.3263111667,17.2524104920286,0.13824594,17.1434769984947,0.160763,17.5037211714288,0.14262405,,,,,,
"AT_2022exr",59862.1784999685,15.9412719903355,0.5498861,,,,,,,,,,
"AT_2022exr",59863.240678341,18.0677104972302,0.3489939,17.3929568705408,0.30174705,17.3845855889683,0.26501974,,,,,,
"AT_2022exr",59864.1110461882,17.123038061444,0.15077221,17.3854413274848,0.20704386,17.6140401565193,0.16978271,,,,,,
"AT_2022exr",59864.6986482185,17.2576481622556,0.19254379,17.9799402848185,0.38991815,17.4155912414434,0.2623097,,,,,,
"AT_2022exr",59867.4133487046,17.2729754191422,0.18130748,17.8328613672103,0.3172934,18.007465077277,0.3356593,,,,,,
