"TDE_name","mjd","mag_w2_src","magerr_w2_src","mag_m2_src","magerr_m2_src","mag_w1_src","magerr_w1_src","mag_uu_src","magerr_uu_src","mag_bb_src","magerr_bb_src","mag_vv_src","magerr_vv_src"
"ASASSN-14ae",56684.908832684,14.8266144695214,0.02680521,14.613471635523,0.027819619,14.9944596461944,0.026372066,15.4919898832887,0.030267898,16.6058118367954,0.03520256,16.2814587255644,0.045872517
"ASASSN-14ae",56687.0362658701,14.9240565032672,0.03585162,14.6120997509855,0.034018412,15.0031922808782,0.04106338,15.4348144171887,0.055941574,16.6607754501877,0.070221186,16.1220173679965,0.1001753
"ASASSN-14ae",56697.6975097282,15.6581470544618,0.029336808,15.3403879992154,0.028674698,15.3797760529856,0.031032484,15.6742423144865,0.038258094,16.6762103186806,0.042574886,16.5107665216886,0.06494936
"ASASSN-14ae",56702.7714816132,15.7910092204463,0.049149167,15.4553410317215,0.04472188,15.6240214921127,0.033385236,15.8152742785298,0.040409293,16.803958506425,0.053524964,16.2736324748241,0.119187884
"ASASSN-14ae",56707.8412236664,15.8820647136416,0.054724917,15.7645132736392,0.06591453,15.7905328541461,0.039331578,15.9549773607379,0.0491253,16.8695537107631,0.08574803,16.4780066586949,0.13945518
"ASASSN-14ae",56729.1258042831,16.797668488495,0.053933837,16.7303400892885,0.05298517,16.7652353164057,0.051359005,16.7456193856159,0.07987463,17.3941820295214,0.082618766,17.0066525040775,0.124190845
"ASASSN-14ae",56734.3842051542,16.8763695056345,0.09734653,16.7281198943657,0.09821831,16.8331906678444,0.11653702,17.0064650436398,0.15011029,17.6938802742755,0.16338946,16.6578462521526,0.17796202
"ASASSN-14ae",56738.5248493301,16.9721442253918,0.04175346,17.0058871339304,0.042789966,17.1153708505185,0.061219603,16.9635449052881,0.061206147,17.5512795167661,0.06276142,17.0091905566257,0.08363429
"ASASSN-14ae",56739.3997552759,16.9891099414044,0.042513315,16.8777528734862,0.0419181,17.0833688316535,0.052304234,17.0417621009249,0.060771063,17.671029832545,0.063355155,16.9537789163134,0.08373218
"ASASSN-14ae",56744.1804156125,17.0883964302658,0.05933139,16.9884815238644,0.05903054,17.1316981772101,0.07893822,17.1475606579116,0.095360115,17.6530591630747,0.09158017,17.0606778260547,0.11823579
"ASASSN-14ae",56749.7843460468,17.0277154664206,0.09707945,17.2079803639518,0.10421214,17.3805544223546,0.06531041,17.3405360969923,0.16032435,17.734983119404,0.15381342,16.6350074077651,0.15295407
"ASASSN-14ae",56755.3168011169,17.2909917073848,0.052518543,17.3171818086379,0.052179325,17.5282517356747,0.07061558,17.3256497432851,0.07706851,17.5359634126962,0.06416492,16.9570956343667,0.090993024
