WAVE,FLUX,ERR,BGFLUX
9085.962,5.0845644E-17,5.9504176E-18,1.3849179E-16
9091.481,6.894064E-17,6.246312E-18,1.5756973E-16
9097.001,5.4492683E-17,6.2903525E-18,1.8103674E-16
9102.5205,4.742709E-17,6.130313E-18,1.5963077E-16
9108.041,3.8419075E-17,6.0153687E-18,1.5115036E-16
9113.561,5.3056883E-17,6.098824E-18,1.3792178E-16
9119.08,5.0327164E-17,5.974739E-18,1.1889603E-16
9124.6,4.6195265E-17,5.8947806E-18,1.0990558E-16
9130.119,5.148643E-17,5.8570012E-18,9.459062E-17
9135.639,4.3491208E-17,5.797176E-18,9.4338844E-17
9141.158,4.2676147E-17,5.9523727E-18,1.1409252E-16
9146.678,5.1434517E-17,6.17677E-18,1.3184693E-16
9152.198,6.2807215E-17,6.3657115E-18,1.428432E-16
9157.718,5.0456207E-17,6.3321247E-18,1.5219266E-16
9163.237,3.4777647E-17,6.2177347E-18,1.5278839E-16
9168.757,6.51584E-17,6.3238413E-18,1.205536E-16
9174.276,5.620933E-17,6.2506896E-18,1.1935245E-16
9179.796,4.3529986E-17,6.0999032E-18,1.1193527E-16
9185.315,6.322259E-17,6.252473E-18,1.00835534E-16
9190.835,4.3774117E-17,6.2612295E-18,1.2621618E-16
9196.3545,3.0583144E-17,6.1702103E-18,1.3139163E-16
9201.875,5.810372E-17,6.3493366E-18,1.1150584E-16
9207.395,4.3343953E-17,6.3872443E-18,1.3710611E-16
9212.914,5.3443167E-17,6.622697E-18,1.5875912E-16
9218.434,6.6469534E-17,6.7282354E-18,1.5265968E-16
9223.953,6.0390623E-17,6.6509995E-18,1.467973E-16
9229.473,4.2711977E-17,6.425274E-18,1.3424889E-16
9234.992,4.7018673E-17,6.4611313E-18,1.3675373E-16
