wavelength flux
3531.6455 8.8563e-17
3533.7107 8.98361e-17
3535.7766 9.10476e-17
3537.843 9.92985e-17
3539.9097 8.62159e-17
3541.9766 9.64732e-17
3544.0442 9.39117e-17
3546.1121 1.01113e-16
3548.1804 9.51211e-17
3550.249 9.78592e-17
3552.3181 9.78632e-17
3554.3877 8.97265e-17
3556.4578 9.06815e-17
3558.5281 9.22229e-17
3560.5989 9.62909e-17
3562.6702 9.56448e-17
3564.7417 9.47954e-17
3566.8137 9.61814e-17
3568.886 8.92431e-17
3570.959 9.17845e-17
3573.0322 9.86052e-17
3575.106 9.01713e-17
3577.1799 9.24656e-17
3579.2544 9.4217e-17
3581.3291 8.62064e-17
3583.4045 9.33238e-17
3585.48 9.13976e-17
3587.5562 8.80816e-17
3589.6326 9.68213e-17
3591.7095 9.38225e-17
3593.7869 8.98966e-17
3595.8645 8.31246e-17
3597.9424 8.24933e-17
3600.021 8.57193e-17
3602.0999 9.09463e-17
3604.179 8.72251e-17
3606.2588 7.98577e-17
3608.3386 8.61527e-17
3610.4192 8.90436e-17
3612.5 8.64783e-17
3614.5813 8.50132e-17
3616.6628 8.76208e-17
3618.7449 9.03964e-17
3620.8271 8.13454e-17
3622.9099 9.01855e-17
3624.9932 9.38029e-17
3627.0767 8.97264e-17
3629.1606 8.93215e-17
3631.2449 9.12819e-17
3633.3296 8.32183e-17
3635.4148 9.48194e-17
3637.5002 8.9095e-17
3639.5862 8.9048e-17
3641.6724 8.95252e-17
3643.759 9.17798e-17
3645.8459 8.82254e-17
3647.9333 8.12056e-17
3650.0212 8.70056e-17
3652.1094 8.67446e-17
3654.198 8.24626e-17
3656.2869 8.22291e-17
3658.3762 8.42208e-17
3660.4658 8.86732e-17
3662.5559 8.47782e-17
3664.6462 7.7003e-17
3666.7371 8.99182e-17
3668.8281 8.17956e-17
3670.9199 8.43758e-17
3673.0117 7.88129e-17
3675.104 8.50436e-17
3677.1965 8.35508e-17
3679.2898 8.67143e-17
3681.3831 8.62337e-17
3683.4768 8.65819e-17
3685.571 8.35386e-17
3687.6655 8.76077e-17
3689.7605 7.67548e-17
3691.8557 7.79878e-17
3693.9514 8.71048e-17
3696.0474 8.44471e-17
3698.1436 8.54642e-17
3700.2402 8.26843e-17
3702.3374 8.05831e-17
3704.4348 8.17018e-17
3706.5327 8.55751e-17
3708.6309 9.07284e-17
3710.7292 8.7555e-17
3712.8281 8.62115e-17
3714.9275 8.41811e-17
3717.0271 8.73247e-17
3719.127 8.28854e-17
3721.2273 8.33375e-17
3723.3279 8.42057e-17
3725.429 7.71981e-17
3727.5305 8.0489e-17
3729.6321 8.77921e-17
3731.7341 7.37321e-17
3733.8367 7.70496e-17
3735.9395 7.63742e-17
3738.0425 7.91547e-17
3740.146 7.84724e-17
3742.25 7.43325e-17
3744.3542 7.70935e-17
3746.4587 8.04395e-17
3748.5637 7.72732e-17
3750.6689 8.71019e-17
3752.7744 7.73807e-17
3754.8804 7.58797e-17
3756.9868 7.60019e-17
3759.0933 7.84024e-17
3761.2002 7.83587e-17
3763.3076 8.17432e-17
3765.4153 7.8136e-17
3767.5232 7.17228e-17
3769.6316 8.05588e-17
3771.7402 7.65075e-17
3773.8494 7.22159e-17
3775.9587 7.06385e-17
3778.0684 7.76772e-17
3780.1785 7.6744e-17
3782.2888 7.49067e-17
3784.3994 7.61834e-17
3786.5105 7.52587e-17
3788.6221 7.80652e-17
3790.7336 7.54685e-17
3792.8457 7.36206e-17
3794.958 7.64677e-17
3797.0708 7.97642e-17
3799.1838 7.68687e-17
3801.2974 7.5595e-17
3803.4109 7.6547e-17
3805.5249 7.86238e-17
3807.6394 8.32707e-17
3809.7542 7.60945e-17
3811.8691 8.58693e-17
3813.9846 8.64402e-17
3816.1001 8.3398e-17
3818.2163 8.37089e-17
3820.3325 8.35347e-17
3822.4492 8.14679e-17
3824.5662 7.9089e-17
3826.6836 8.16324e-17
3828.801 8.14206e-17
3830.9192 8.17429e-17
3833.0374 7.44953e-17
3835.156 7.85579e-17
3837.2749 8.40188e-17
3839.394 8.35239e-17
3841.5137 8.33844e-17
3843.6335 8.26903e-17
3845.7537 7.81066e-17
3847.874 7.63821e-17
3849.9951 8.12065e-17
3852.1162 7.91629e-17
3854.2375 8.43144e-17
3856.3594 8.00787e-17
3858.4812 8.12998e-17
3860.6038 7.88181e-17
3862.7263 8.18358e-17
3864.8494 8.03205e-17
3866.9727 8.34924e-17
3869.0964 8.31988e-17
3871.2202 8.60882e-17
3873.3445 8.67564e-17
3875.469 9.0869e-17
3877.594 8.99743e-17
3879.719 8.49333e-17
3881.8445 8.63492e-17
3883.9702 8.32363e-17
3886.0964 8.20741e-17
3888.2229 8.7237e-17
3890.3494 8.25531e-17
3892.4763 7.94183e-17
3894.6038 8.37989e-17
3896.7312 7.68861e-17
3898.8591 8.09111e-17
3900.9873 7.97361e-17
3903.1157 8.03095e-17
3905.2446 7.96825e-17
3907.3738 8.30913e-17
3909.5029 8.30545e-17
3911.6328 8.82017e-17
3913.7627 8.28724e-17
3915.8928 8.22389e-17
3918.0234 8.66496e-17
3920.1543 8.41846e-17
3922.2854 8.37076e-17
3924.4167 8.04948e-17
3926.5486 7.87047e-17
3928.6807 7.69728e-17
3930.813 7.5608e-17
3932.9453 7.71584e-17
3935.0784 8.13101e-17
3937.2114 8.17239e-17
3939.345 8.63164e-17
3941.4788 9.00806e-17
3943.6128 9.45188e-17
3945.7471 1.09823e-16
3947.8816 1.15888e-16
3950.0164 1.15752e-16
3952.1516 9.89485e-17
3954.2871 8.35915e-17
3956.4226 7.86207e-17
3958.5586 8.18052e-17
3960.6951 8.4308e-17
3962.8315 8.41974e-17
3964.9685 7.87705e-17
3967.1055 7.62075e-17
3969.2429 7.08689e-17
3971.3806 8.02935e-17
3973.5186 7.86682e-17
3975.6567 8.23161e-17
3977.7952 8.67666e-17
3979.9341 8.01802e-17
3982.073 8.22613e-17
3984.2124 7.72586e-17
3986.3521 8.36864e-17
3988.4917 8.43695e-17
3990.6321 8.70117e-17
3992.7725 8.19345e-17
3994.9131 7.82829e-17
3997.054 8.60158e-17
3999.1953 8.72244e-17
4001.3367 8.95278e-17
4003.4785 9.11083e-17
4005.6204 9.62461e-17
4007.7627 9.42647e-17
4009.9053 8.94242e-17
4012.0481 9.03914e-17
4014.1912 9.21022e-17
4016.3345 8.34238e-17
4018.478 8.69262e-17
4020.6218 8.23588e-17
4022.7659 8.43298e-17
4024.9104 8.45046e-17
4027.0549 8.78322e-17
4029.1997 8.88829e-17
4031.345 8.7705e-17
4033.4905 9.17422e-17
4035.636 9.064e-17
4037.782 8.92903e-17
4039.928 8.99926e-17
4042.0745 8.67727e-17
4044.2212 8.47741e-17
4046.3682 8.41457e-17
4048.5154 8.15511e-17
4050.6628 8.24818e-17
4052.8105 8.27619e-17
4054.9585 7.90674e-17
4057.1067 7.6593e-17
4059.2549 7.90258e-17
4061.4038 7.82032e-17
4063.5527 7.53974e-17
4065.7019 8.06527e-17
4067.8513 8.15208e-17
4070.001 8.58361e-17
4072.1509 8.72251e-17
4074.301 8.7135e-17
4076.4514 8.4011e-17
4078.6021 8.6773e-17
4080.7529 8.93433e-17
4082.9043 8.53629e-17
4085.0554 8.57611e-17
4087.2073 9.10254e-17
4089.3589 9.39497e-17
4091.511 9.38435e-17
4093.6636 9.38519e-17
4095.8159 1.02486e-16
4097.9688 1.03302e-16
4100.1221 9.90513e-17
4102.2754 8.93514e-17
4104.4287 8.74458e-17
4106.5825 8.41201e-17
4108.7363 8.82765e-17
4110.8906 8.89704e-17
4113.0454 8.8835e-17
4115.1997 8.60074e-17
4117.355 8.66788e-17
4119.5098 8.93873e-17
4121.6655 8.61179e-17
4123.8208 9.17632e-17
4125.9766 8.78106e-17
4128.1328 9.03584e-17
4130.2891 8.46475e-17
4132.4458 8.78066e-17
4134.6025 8.26973e-17
4136.7593 8.76266e-17
4138.9165 8.83828e-17
4141.0742 8.98495e-17
4143.2319 8.62e-17
4145.3896 9.17204e-17
4147.5479 8.9895e-17
4149.7061 8.94239e-17
4151.8647 8.87578e-17
4154.0234 8.38754e-17
4156.1826 9.02901e-17
4158.3418 7.95251e-17
4160.501 7.87531e-17
4162.6606 7.43183e-17
4164.8203 6.68298e-17
4166.9805 7.15021e-17
4169.1411 7.28472e-17
4171.3013 7.79665e-17
4173.4619 7.98682e-17
4175.623 8.05394e-17
4177.7842 8.74057e-17
4179.9453 8.78022e-17
4182.1069 8.72345e-17
4184.269 9.14399e-17
4186.4307 8.73873e-17
4188.5933 9.09684e-17
4190.7554 8.75007e-17
4192.918 8.78084e-17
4195.0811 8.57087e-17
4197.2441 9.02892e-17
4199.4072 8.71764e-17
4201.5708 8.16859e-17
4203.7344 7.96107e-17
4205.8984 8.142e-17
4208.0625 8.10928e-17
4210.2266 8.46299e-17
4212.3911 8.59507e-17
4214.5557 9.10154e-17
4216.7207 8.93162e-17
4218.8857 9.31648e-17
4221.0513 9.18261e-17
4223.2168 9.69697e-17
4225.3823 9.74669e-17
4227.5483 9.87535e-17
4229.7144 9.73173e-17
4231.8804 9.37544e-17
4234.0469 1.00271e-16
4236.2139 9.89342e-17
4238.3804 9.79754e-17
4240.5474 9.63823e-17
4242.7148 9.69365e-17
4244.8823 9.7001e-17
4247.0498 9.51432e-17
4249.2178 1.0053e-16
4251.3857 9.57248e-17
4253.5542 1.0109e-16
